NetSmile ER1k 34.8352906703949
NetSmile ER10k 3.109795093536377
NetLSD ER1k 0.2961392402648926
NetLSD ER10k 19.111557245254517
NetLSD ER10k 37.970598459243774
NetLSD facebook_g 5.944478273391724
NetLSD facebook_g 5.923175096511841
NetLSD ER10k 50.42497897148132
NetLSD facebook_g 6.5683510303497314
NetLSD github_g 122.9909999370575
NetLSD ER10k 64.25838828086853
NetSmile ER10k 10.004746198654175
NetSmile ER20k 64.5031669139862
NetLSD ER20k 250.04216027259827
NetLSD github_g 337.1459391117096
FGSD ER10k 1512.4742755889893
NetSmile github_g 3548.5949404239655
NetSmile ER10k 3.59295392036438
NetSmile ER20k 23.740954399108887
NetLSD ER1k 0.2452549934387207
NetLSD ER10k 17.872568130493164
NetLSD github_g 68.20134973526001
NetSmile ER1k 33.77592158317566
NetSmile ER10k 3.1209659576416016
NetSmile ER1k 32.56193208694458
NetSmile ER20k 19.70108699798584
NetSmile ER1k 32.83931851387024
NetSmile ER1k 33.09949350357056
NetSmile ER110k 1484.0603449344635
NetSmile github_g 1647.5157191753387
NetLSD ER1k 0.24428081512451172
NetLSD ER110k 20.869112491607666
NetLSD github_g 63.602335929870605
NetLSD ER1k 0.16548728942871094
NetLSD ER110k 20.183212757110596
NetLSD github_g 65.09183740615845
NetLSD ER1k 0.1647486686706543
NetLSD ER110k 20.75878119468689
NetLSD ER1k 0.2802250385284424
NetLSD ER110k 20.567554473876953
NetLSD github_g 70.1414589881897
FGSD ER1k 0.45456767082214355
FGSD ER1k 0.4312608242034912
FGSD ER110k 294.7411460876465
FGSD github_g 416.8691461086273
